Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
10019-101D1,FF:10019-101D1,"lung, adult, pool1",0910061 -10,tissues,Human (Homo sapiens),mixed,,"46,65,94 years old adult",lung,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10019-101D1,Total RNA
10020-101D2,FF:10020-101D2,"ovary, adult, pool1",0910061 -11,tissues,Human (Homo sapiens),female,,"47,75,84 years old adult",ovary,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10020-101D2,Total RNA
10021-101D3,FF:10021-101D3,"placenta, adult, pool1",0910061 -12,tissues,Human (Homo sapiens),female,,adult,placenta,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10021-101D3,Total RNA
10022-101D4,FF:10022-101D4,"prostate, adult, pool1",0910061 -13,tissues,Human (Homo sapiens),male,,"73,79,93 years old adult",prostate,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10022-101D4,Total RNA
10023-101D5,FF:10023-101D5,"skeletal muscle, adult, pool1",0910061 -14,tissues,Human (Homo sapiens),mixed,,"55,79,79 years old adult",skeletal muscle,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10023-101D5,Total RNA
10024-101D6,FF:10024-101D6,"small intestine, adult, pool1",0910061 -15,tissues,Human (Homo sapiens),mixed,,"15,40,85 years old adult",small intestine,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10024-101D6,Total RNA
10025-101D7,FF:10025-101D7,"spleen, adult, pool1",0910061 -16,tissues,Human (Homo sapiens),male,,"39,50,70 years old adult",spleen,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10025-101D7,Total RNA
10026-101D8,FF:10026-101D8,"testis, adult, pool1",0910061 -17,tissues,Human (Homo sapiens),male,,"34,53,86 years old adult",testis,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10026-101D8,Total RNA
10027-101D9,FF:10027-101D9,"thymus, adult, pool1",0910061 -18,tissues,Human (Homo sapiens),male,,"0.5,0.5,0.83 years old infant",thymus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10027-101D9,Total RNA
10028-101E1,FF:10028-101E1,"thyroid, adult, pool1",0910061 -19,tissues,Human (Homo sapiens),mixed,,"67,68,78 years old adult",thyroid,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10028-101E1,Total RNA
10029-101E2,FF:10029-101E2,"trachea, adult, pool1",0910061 -20,tissues,Human (Homo sapiens),mixed,,"59,72,78 years old adult",trachea,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10029-101E2,Total RNA
10030-101E3,FF:10030-101E3,"retina, adult, pool1",9100123A,tissues,Human (Homo sapiens),mixed,,24-65 years old adult,retina,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10030-101E3,Total RNA
10031-101E4,FF:10031-101E4,"temporal lobe, adult, pool1",7090051,tissues,Human (Homo sapiens),mixed,,32-61 years old adult,temporal lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10031-101E4,Total RNA
10032-101E5,FF:10032-101E5,"postcentral gyrus, adult, pool1",3040377,tissues,Human (Homo sapiens),mixed,,44-52 years old adult,postcentral gyrus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10032-101E5,Total RNA
10033-101E6,FF:10033-101E6,"pons, adult, pool1",8101345A,tissues,Human (Homo sapiens),mixed,,18-54 years old adult,pons,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10033-101E6,Total RNA
10034-101E7,FF:10034-101E7,"parietal lobe, adult, pool1",636571,tissues,Human (Homo sapiens),mixed,,35-89 years old adult,parietal lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10034-101E7,Total RNA
10035-101E8,FF:10035-101E8,"paracentral gyrus, adult, pool1",3040378,tissues,Human (Homo sapiens),mixed,,22-69 years old adult,paracentral gyrus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10035-101E8,Total RNA
10036-101E9,FF:10036-101E9,"occipital pole, adult, pool1",3040374,tissues,Human (Homo sapiens),mixed,,22-68 years old adult,occipital pole,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10036-101E9,Total RNA
10037-101F1,FF:10037-101F1,"nucleus accumbens, adult, pool1",6070307,tissues,Human (Homo sapiens),mixed,,23-56 years old adult,nucleus accumbens,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10037-101F1,Total RNA
10038-101F2,FF:10038-101F2,"medulla oblongata, adult, pool1",7060209,tissues,Human (Homo sapiens),mixed,,18-64 years old adult,medulla oblongata,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10038-101F2,Total RNA
10039-101F3,FF:10039-101F3,"insula, adult, pool1",3040372,tissues,Human (Homo sapiens),mixed,,20-68 years old adult,insula,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10039-101F3,Total RNA
10040-101F4,FF:10040-101F4,"frontal lobe, adult, pool1",8121115A,tissues,Human (Homo sapiens),mixed,,32-61 years old adult,frontal lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10040-101F4,Total RNA
10041-101F5,FF:10041-101F5,"dura mater, adult, donor1",3040808,tissues,Human (Homo sapiens),female,,59 years old adult,dura mater,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10041-101F5,Total RNA
10042-101F6,FF:10042-101F6,"corpus callosum, adult, pool1",6080307,tissues,Human (Homo sapiens),mixed,,24-68 years old adult,corpus callosum,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10042-101F6,Total RNA
10043-101F7,FF:10043-101F7,"thymus, fetal, pool1",5040223,tissues,Human (Homo sapiens),mixed,,22-34 weeks fetus,thymus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10043-101F7,Total RNA
10044-101F8,FF:10044-101F8,"spleen, fetal, pool1",3040796,tissues,Human (Homo sapiens),mixed,,12-31 weeks fetus,spleen,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10044-101F8,Total RNA
10045-101F9,FF:10045-101F9,"kidney, fetal, pool1",8082007A,tissues,Human (Homo sapiens),mixed,,12-31 weeks fetus,kidney,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10045-101F9,Total RNA
10046-101G1,FF:10046-101G1,"heart, fetal, pool1",9041413A,tissues,Human (Homo sapiens),mixed,,12-31 weeks fetus,heart,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10046-101G1,Total RNA
10047-101G2,FF:10047-101G2,"tonsil, adult, pool1",9120165A,tissues,Human (Homo sapiens),mixed,,22-61 years old adult,tonsil,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10047-101G2,Total RNA
10048-101G3,FF:10048-101G3,"smooth muscle, adult, pool1",9052728A,tissues,Human (Homo sapiens),male,,20-68 years old adult,smooth muscle,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10048-101G3,Total RNA
10049-101G4,FF:10049-101G4,"pancreas, adult, donor1",8081302A,tissues,Human (Homo sapiens),male,,52 years old adult,pancreas,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10049-101G4,Total RNA
10050-101G5,FF:10050-101G5,"heart, adult, diseased post-infarction, donor1",9070074A,tissues,Human (Homo sapiens),female,,92 years old adult,heart,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10050-101G5,Total RNA
10051-101G6,FF:10051-101G6,"heart, adult, diseased, donor1",3040792,tissues,Human (Homo sapiens),female,,92 years old adult,heart,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10051-101G6,Total RNA
10052-101G7,FF:10052-101G7,"aorta, adult, pool1",9052725A,tissues,Human (Homo sapiens),mixed,,27-45 years old adult,aorta,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10052-101G7,Total RNA
10053-101G8,FF:10053-101G8,"blood, adult, pool1",9090107A,tissues,Human (Homo sapiens),mixed,,18-47 years old adult,blood,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10053-101G8,Total RNA
10054-101G9,FF:10054-101G9,"eye, fetal, donor1",B210179,tissues,Human (Homo sapiens),female,,36 weeks fetus,eye,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10054-101G9,Total RNA
10055-101H1,FF:10055-101H1,"uterus, fetal, donor1",B402230,tissues,Human (Homo sapiens),female,,26 weeks fetus,uterus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10055-101H1,Total RNA
10056-101H2,FF:10056-101H2,"spinal cord, fetal, donor1",A703261,tissues,Human (Homo sapiens),female,,29 weeks fetus,spinal cord,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10056-101H2,Total RNA
10057-101H3,FF:10057-101H3,"umbilical cord, fetal, donor1",B110269,tissues,Human (Homo sapiens),male,,31 weeks fetus,umbilical cord,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10057-101H3,Total RNA
10058-101H4,FF:10058-101H4,"trachea, fetal, donor1",B402231,tissues,Human (Homo sapiens),male,,29 weeks fetus,trachea,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10058-101H4,Total RNA
10059-101H5,FF:10059-101H5,"tongue, fetal, donor1",B301061,tissues,Human (Homo sapiens),female,,32 weeks fetus,tongue,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10059-101H5,Total RNA
10060-101H6,FF:10060-101H6,"thyroid, fetal, donor1",A811069,tissues,Human (Homo sapiens),male,,36 weeks fetus,thyroid,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10060-101H6,Total RNA
10061-101H7,FF:10061-101H7,"throat, fetal, donor1",B212133,tissues,Human (Homo sapiens),female,,25 weeks fetus,throat,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10061-101H7,Total RNA
10062-101H8,FF:10062-101H8,"stomach, fetal, donor1",A805052,tissues,Human (Homo sapiens),female,,40 weeks fetus,stomach,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10062-101H8,Total RNA
10063-101H9,FF:10063-101H9,"temporal lobe, fetal, donor1",A702181,tissues,Human (Homo sapiens),female,,22 weeks fetus,temporal lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10063-101H9,Total RNA
10064-101I1,FF:10064-101I1,"small intestine, fetal, donor1",B205082,tissues,Human (Homo sapiens),female,,16 weeks fetus,small intestine,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10064-101I1,Total RNA
10065-101I2,FF:10065-101I2,"skin, fetal, donor1",A507299,tissues,Human (Homo sapiens),female,,26 weeks fetus,skin,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10065-101I2,Total RNA
10066-101I3,FF:10066-101I3,"skeletal muscle, fetal, donor1",A503105,tissues,Human (Homo sapiens),male,,22 weeks fetus,skeletal muscle,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10066-101I3,Total RNA
10067-101I4,FF:10067-101I4,"rectum, fetal, donor1",A912096,tissues,Human (Homo sapiens),female,,19 weeks fetus,rectum,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10067-101I4,Total RNA
10068-101I5,FF:10068-101I5,"lung, fetal, donor1",A506331,tissues,Human (Homo sapiens),male,,40 weeks fetus,lung,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10068-101I5,Total RNA
10069-101I6,FF:10069-101I6,"diaphragm, fetal, donor1",A912092,tissues,Human (Homo sapiens),male,,36 weeks fetus,diaphragm,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10069-101I6,Total RNA
10070-101I7,FF:10070-101I7,"colon, fetal, donor1",B207218,tissues,Human (Homo sapiens),female,,37 weeks fetus,colon,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10070-101I7,Total RNA
10071-101I8,FF:10071-101I8,"duodenum, fetal, donor1",A706076,tissues,Human (Homo sapiens),male,,36 weeks fetus,duodenum,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10071-101I8,Total RNA
10072-101I9,FF:10072-101I9,"parietal lobe, fetal, donor1",A601609,tissues,Human (Homo sapiens),female,,20 weeks fetus,parietal lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10072-101I9,Total RNA
10073-102A1,FF:10073-102A1,"occipital lobe, fetal, donor1",A602123,tissues,Human (Homo sapiens),male,,22 weeks fetus,occipital lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10073-102A1,Total RNA
10074-102A2,FF:10074-102A2,"skin, adult, donor1",B309058,tissues,Human (Homo sapiens),male,,24 years old adult,skin,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10074-102A2,Total RNA
10075-102A3,FF:10075-102A3,"lung, right lower lobe, adult, donor1",A511335,tissues,Human (Homo sapiens),male,,29 years old adult,lung,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10075-102A3,Total RNA
10076-102A4,FF:10076-102A4,"occipital lobe, adult, donor1",A505663,tissues,Human (Homo sapiens),male,,27 years old adult,occipital lobe,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10076-102A4,Total RNA
10077-102A5,FF:10077-102A5,"lymph node, adult, donor1",8060051,tissues,Human (Homo sapiens),male,,30 years old adult,lymph node,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10077-102A5,Total RNA
10078-102A6,FF:10078-102A6,"left ventricle, adult, donor1",5060611,tissues,Human (Homo sapiens),female,,73 years old adult,left ventricle,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10078-102A6,Total RNA
10079-102A7,FF:10079-102A7,"left atrium, adult, donor1",8060182,tissues,Human (Homo sapiens),male,,40 years old adult,left atrium,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10079-102A7,Total RNA
10080-102A8,FF:10080-102A8,"breast, adult, donor1",808002,tissues,Human (Homo sapiens),female,,77 years old adult,breast,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10080-102A8,Total RNA
10081-102A9,FF:10081-102A9,"adrenal gland, adult, pool1",8101369A-1,tissues,Human (Homo sapiens),mixed,,15-61 years old adult,adrenal gland,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10081-102A9,Total RNA
10082-102B1,FF:10082-102B1,"colon, adult, donor1",8101369A-2,tissues,Human (Homo sapiens),female,,23 years old adult,colon,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10082-102B1,Total RNA
10083-102B2,FF:10083-102B2,"cerebellum, adult, pool1",8101369A-3,tissues,Human (Homo sapiens),mixed,,22-68 years old adult,cerebellum,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10083-102B2,Total RNA
10084-102B3,FF:10084-102B3,"brain, adult, donor1",8101369A-4,tissues,Human (Homo sapiens),male,,18 years old adult,brain,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10084-102B3,Total RNA
10085-102B4,FF:10085-102B4,"brain, fetal, pool1",8101369A-5,tissues,Human (Homo sapiens),mixed,,20-33 weeks fetus,brain,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10085-102B4,Total RNA
10086-102B5,FF:10086-102B5,"liver, fetal, pool1",8101369A-6,tissues,Human (Homo sapiens),mixed,,22-40 weeks fetus,liver,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10086-102B5,Total RNA
10093-102C3,FF:10093-102C3,"salivary gland, adult, pool1",8101369A-13,tissues,Human (Homo sapiens),mixed,,16-60 years old adult,salivary gland,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10093-102C3,Total RNA
