Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
10245-104B2,FF:10245-104B2,"visual cortex - Mecp knockout, neonate N15, donor2",N/A,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10245-104B2,Total RNA
10246-104B3,FF:10246-104B3,"visual cortex - Mecp knockout, neonate N30, donor1",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10246-104B3,Total RNA
10247-104B4,FF:10247-104B4,"visual cortex - Mecp knockout, neonate N30, donor2",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10247-104B4,Total RNA
10248-104B5,FF:10248-104B5,"visual cortex - Mecp knockout, neonate N30, donor3",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10248-104B5,Total RNA
10249-104B6,FF:10249-104B6,"visual cortex - Mecp knockout, neonate N60-70, donor1",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10249-104B6,Total RNA
10250-104B7,FF:10250-104B7,"visual cortex - Mecp knockout, neonate N60-70, donor2",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10250-104B7,Total RNA
10251-104B8,FF:10251-104B8,"visual cortex - Mecp knockout, neonate N60-70, donor3",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10251-104B8,Total RNA
10252-104B9,FF:10252-104B9,"Ileum epithelium, pool1",Cont_ileum_a,developmental,Mouse (Mus musculus),female,,,ileum,,CELL MIXTURE - tissue sample,,Shinji Fukuda (RCAI),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10252-104B9,Total RNA
10253-104C1,FF:10253-104C1,"Ileum epithelium, pool2",Cont_ileum_b,tissues,Mouse (Mus musculus),female,,,ileum,,CELL MIXTURE - tissue sample,,Shinji Fukuda (RCAI),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10253-104C1,Total RNA
10260-104C8,FF:10260-104C8,"Ileum epithelium, treated with RANKL, day03, pool3",R-3day_ileum_c,tissues,Mouse (Mus musculus),female,,,ileum,,CELL MIXTURE - tissue sample,,Shinji Fukuda (RCAI),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10260-104C8,Total RNA
10262-104D1,FF:10262-104D1,"Follicle Associated Epithelium, pool2",FAE_b,tissues,Mouse (Mus musculus),female,,,Peyer's patch,,CELL MIXTURE - tissue sample,,Shinji Fukuda (RCAI),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10262-104D1,Total RNA
10263-104D2,FF:10263-104D2,"Follicle Associated Epithelium, pool3",FAE_c,tissues,Mouse (Mus musculus),female,,,Peyer's patch,,CELL MIXTURE - tissue sample,,Shinji Fukuda (RCAI),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10263-104D2,Total RNA
10349-105D7,FF:10349-105D7,"visual cortex - wildtype, neonate N15, donor5",,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,,CELL MIXTURE - tissue sample,,,,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10349-105D7,Total RNA
10350-105D8,FF:10350-105D8,"visual cortex - Mecp knockout, neonate N15, donor3",,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,,CELL MIXTURE - tissue sample,,,,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10350-105D8,Total RNA
1035-18D5,FF:1035-18D5,"stomach, embryo E17",,developmental,Mouse (Mus musculus),mixture,,17 days embryo,stomach,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,1035-18D5,Total RNA
1063-29H9,FF:1063-29H9,"accessory axillary lymph node, adult",,developmental,Mouse (Mus musculus),male,,adult,accessory axillary lymph node,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,1063-29H9,Total RNA
11299-117B3,FF:11299-117B3,"Mouse Aortic Smooth Muscle cells, donor1",,primary cells,Mouse (Mus musculus),unknown,U,,aorta,lot:2438,smooth muscle cell,M354-20,FANTOM5 OSC CORE (contact: Al Forrest),Cell Applications,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,11299-117B3,Total RNA
11484-119D8,FF:11484-119D8,"Mouse Aortic Smooth Muscle cells - differentiated, biol_rep1",,primary cells,Mouse (Mus musculus),,,,,lot:2438,,,,Cell Applications,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.16,11484-119D8,Total RNA
11485-119D9,FF:11485-119D9,"Mouse Aortic Smooth Muscle cells - differentiated, biol_rep2",,primary cells,Mouse (Mus musculus),,,,,lot:2438,,,,Cell Applications,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.17,11485-119D9,Total RNA
11489-119E4,FF:11489-119E4,"Mouse Neurons - substantia nigra, donor4",RNASUB3,primary cells,Mouse (Mus musculus),,,,substantia nigra,,,,,Sciencell/3H,,11489-119E4,Total RNA
11490-119E5,FF:11490-119E5,"Mouse Neurons - substantia nigra, donor5",RNASUB1,primary cells,Mouse (Mus musculus),,,,substantia nigra,,,,,Sciencell/3H,,11490-119E5,Total RNA
11550-120C2,FF:11550-120C2,"Mouse Astrocytes - cerebellar, donor2",lot:3221,primary cells,Mouse (Mus musculus),,,,cerebellum,,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11550-120C2,Total RNA
11551-120C3,FF:11551-120C3,"Mouse Astrocytes - hippocampus, donor2",lot:3899,primary cells,Mouse (Mus musculus),,,,hippocampus,,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11551-120C3,Total RNA
11552-120C4,FF:11552-120C4,"Mouse Astrocytes, donor2",lot:3931,primary cells,Mouse (Mus musculus),,,,brain,,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11552-120C4,Total RNA
11632-122C3,FF:11632-122C3,"Mouse Astrocytes - hippocampus, donor3",lot:4129,primary cells,Mouse (Mus musculus),,,,hippocampus,N/A,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11632-122C3,Total RNA
11633-122C4,FF:11633-122C4,"Mouse Astrocytes, donor3",lot:4657,primary cells,Mouse (Mus musculus),,,,brain,,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11633-122C4,Total RNA
11634-122C5,FF:11634-122C5,"Mouse Cardiac Myocytes, donor3",,primary cells,Mouse (Mus musculus),,,,heart,N/A,cardiac muscle cell,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11634-122C5,Total RNA
11636-122C7,FF:11636-122C7,"Mouse Granule cells, donor3",RNAMG1,primary cells,Mouse (Mus musculus),,,,brain,N/A,"neuron, granule cell",N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11636-122C7,Total RNA
11637-122C8,FF:11637-122C8,"Mouse hepatocyte, donor3",,primary cells,Mouse (Mus musculus),male,,,liver,,hepatocyte,,FANTOM5 OSC CORE (contact: Al Forrest),xenotech,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11637-122C8,Total RNA
11639-122D1,FF:11639-122D1,"Mouse Meningeal cells, donor3",RNAM5771,primary cells,Mouse (Mus musculus),,,,meninges,N/A,meningeal cell,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11639-122D1,Total RNA
11640-122D2,FF:11640-122D2,"Mouse Mesenchymal stem cells - bone marrow derived, donor3",RNAMCS3,primary cells,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11640-122D2,Total RNA
11641-122D3,FF:11641-122D3,"Mouse Microglia, donor3",RNAMG3,primary cells,Mouse (Mus musculus),,,,brain,,microglial cell,,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11641-122D3,Total RNA
11643-122D5,FF:11643-122D5,"Mouse Neurons - dorsal spinal cord, donor3",RNADOR3,primary cells,Mouse (Mus musculus),,,,spinal cord,,neuron,,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11643-122D5,Total RNA
11644-122D6,FF:11644-122D6,"Mouse Neurons - hippocampal, donor3",RNAMNh3,primary cells,Mouse (Mus musculus),,,,hippocampus,N/A,neuron,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11644-122D6,Total RNA
11645-122D7,FF:11645-122D7,"Mouse Neurons - raphe, donor3",RNARAP1,primary cells,Mouse (Mus musculus),,,,raphe nuclei,,neuron,,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11645-122D7,Total RNA
11646-122D8,FF:11646-122D8,"Mouse Neurons - striatal, donor3",RNAMNS1,primary cells,Mouse (Mus musculus),,,,corpus striatum,N/A,neuron,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11646-122D8,Total RNA
11647-122D9,FF:11647-122D9,"Mouse Neurons - cortical, donor3",RNAMNC1,primary cells,Mouse (Mus musculus),,,,cortex,N/A,neuron,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11647-122D9,Total RNA
11648-122E1,FF:11648-122E1,"Mouse Neurons - ventral spinal cord, donor3",RNAMSC1,primary cells,Mouse (Mus musculus),,,,spinal cord,N/A,neuron,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11648-122E1,Total RNA
11651-122E4,FF:11651-122E4,"Schwann, donor3",lot:3915,primary cells,Mouse (Mus musculus),,,,peripheral nervous system,N/A,schwann cell,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,11651-122E4,Total RNA
11708-123B7,FF:11708-123B7,"Mouse Astrocytes - cerebellar, donor1",RNA3928,primary cells,Mouse (Mus musculus),,,,cerebellum,N/A,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,11708-123B7,Total RNA
11709-123B8,FF:11709-123B8,"Mouse Astrocytes - hippocampus, donor1",lot:5772,primary cells,Mouse (Mus musculus),,,,hippocampus,N/A,astrocyte,N/A,FANTOM5 OSC CORE (contact: Al Forrest),Sciencell/3H,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,11709-123B8,Total RNA
